match_id,date,tournament,tournament_tier,hunter_player,survivor1_player,survivor2_player,survivor3_player,survivor4_player,map_name,n_escaped,hunter_wins,source_file,source_row
141,2020-07-12,IVL_2020_summer_regular,IVL,yue,maozi,f,lpz,xmm,"永眠镇",2,,IVL_COA_2020-2024.json,32
142,2020-07-12,IVL_2020_summer_regular,IVL,ppx,ruoan,fox,zibi,sans,"永眠镇",3,0,IVL_COA_2020-2024.json,32
143,2020-07-12,IVL_2020_summer_regular,IVL,ppx,ruoan,fox,zibi,sans,"红教堂",0,1,IVL_COA_2020-2024.json,32
144,2020-07-12,IVL_2020_summer_regular,IVL,yue,maozi,f,lpz,xmm,"红教堂",3,0,IVL_COA_2020-2024.json,32
145,2020-07-17,IVL_2020_summer_regular,IVL,yan,lion,wy,487,jelly,"红教堂",4,0,IVL_COA_2020-2024.json,33
146,2020-07-17,IVL_2020_summer_regular,IVL,jue,bbe,youzi,xiaoci,bobo,"红教堂",2,,IVL_COA_2020-2024.json,33
147,2020-07-17,IVL_2020_summer_regular,IVL,jue,bbe,youzi,xiaoci,bobo,"圣心医院",3,0,IVL_COA_2020-2024.json,33
148,2020-07-17,IVL_2020_summer_regular,IVL,kuaji,lion,wy,487,jelly,"圣心医院",4,0,IVL_COA_2020-2024.json,33
149,2020-07-17,IVL_2020_summer_regular,IVL,d,ruoan,fox,zibi,sans,"军工厂",2,,IVL_COA_2020-2024.json,34
150,2020-07-17,IVL_2020_summer_regular,IVL,yue,blue,add,tang,huiyi,"军工厂",1,1,IVL_COA_2020-2024.json,34
151,2020-07-17,IVL_2020_summer_regular,IVL,yue,blue,add,tang,huiyi,"永眠镇",1,1,IVL_COA_2020-2024.json,34
152,2020-07-17,IVL_2020_summer_regular,IVL,d,ruoan,fox,zibi,sans,"永眠镇",2,,IVL_COA_2020-2024.json,34
153,2020-07-18,IVL_2020_summer_regular,IVL,ken,zzai,445,kucao,zb,"圣心医院",2,,IVL_COA_2020-2024.json,35
154,2020-07-18,IVL_2020_summer_regular,IVL,xawm,iron,long,mk,ak,"圣心医院",3,0,IVL_COA_2020-2024.json,35
155,2020-07-18,IVL_2020_summer_regular,IVL,xawm,iron,long,mk,ak,"红教堂",3,0,IVL_COA_2020-2024.json,35
156,2020-07-18,IVL_2020_summer_regular,IVL,ken,zzai,445,kucao,zb,"红教堂",2,,IVL_COA_2020-2024.json,35
157,2020-07-18,IVL_2020_summer_regular,IVL,dongx,yjj,billy,tea,sxy,"月亮河公园",0,1,IVL_COA_2020-2024.json,36
158,2020-07-18,IVL_2020_summer_regular,IVL,afu,zyj,"xc(仙茶)",ww,9j,"月亮河公园",2,,IVL_COA_2020-2024.json,36
159,2020-07-18,IVL_2020_summer_regular,IVL,afu,zyj,xm,ww,9j,"月亮河公园",0,1,IVL_COA_2020-2024.json,36
160,2020-07-18,IVL_2020_summer_regular,IVL,dongx,yjj,billy,tea,sxy,"月亮河公园",2,,IVL_COA_2020-2024.json,36
161,2020-07-18,IVL_2020_summer_regular,IVL,dongx,yjj,billy,tea,sxy,"红教堂",3,0,IVL_COA_2020-2024.json,36
162,2020-07-18,IVL_2020_summer_regular,IVL,afu,zyj,xm,ww,22,"红教堂",2,,IVL_COA_2020-2024.json,36
163,2020-07-18,IVL_2020_summer_regular,IVL,ppx,weirdo,qingc,xiaod,jiu,"军工厂",1,1,IVL_COA_2020-2024.json,37
164,2020-07-18,IVL_2020_summer_regular,IVL,xc,maozi,f,lpz,xmm,"军工厂",0,1,IVL_COA_2020-2024.json,37
165,2020-07-18,IVL_2020_summer_regular,IVL,xc,maozi,f,lpz,xmm,"军工厂",3,0,IVL_COA_2020-2024.json,37
166,2020-07-18,IVL_2020_summer_regular,IVL,ppx,weirdo,qingc,xiaod,jiu,"军工厂",0,1,IVL_COA_2020-2024.json,37
