canonical_id,known_roles,first_seen,last_seen,n_games
envoy,survivor,2024-07-14,2024-07-14,1
erichi,survivor,2020-08-15,2020-08-30,15
erza,survivor,2022-07-01,2022-07-01,2
esmero,hunter,2026-02-28,2026-02-28,2
eugene,survivor,2026-02-28,2026-02-28,1
eve,survivor,2022-03-05,2026-03-02,12
ewnyi,survivor,2024-03-10,2024-03-10,1
f,survivor,2020-06-25,2026-03-08,52
fa,survivor,2026-02-28,2026-02-28,4
faei,survivor,2023-06-24,2023-06-24,2
fafa,hunter,2022-06-24,2023-02-18,5
fafaaa,hunter,2026-03-02,2026-03-02,1
fafatazz,hunter,2024-07-14,2024-07-14,2
fall,survivor,2024-03-09,2024-03-09,2
fallenwingn,survivor,2021-03-06,2021-03-06,2
fanana,survivor,2022-06-25,2022-06-25,2
fangz,survivor,2024-07-28,2024-07-28,2
farfala,hunter,2021-08-07,2021-08-07,3
fashi,hunter,2025-02-22,2026-02-28,5
fathermilk,survivor,2024-07-14,2024-07-14,1
fearless,hunter,2021-08-07,2021-08-14,5
felchap,survivor,2022-06-24,2024-07-15,14
felix,survivor,2021-06-18,2026-04-17,325
fengc,hunter,2026-03-07,2026-03-07,5
fengm,survivor,2022-07-03,2022-07-03,2
feshalover,survivor,2025-02-22,2025-02-22,2
feyjinx,survivor,2021-08-07,2021-08-14,5
fifty,survivor,2024-07-27,2025-02-22,5
fire,survivor,2024-07-27,2024-07-28,9
fizzy,survivor,2022-06-24,2022-06-24,3
flan,survivor,2022-03-20,2022-04-04,6
flashair,survivor,2022-02-27,2023-04-14,9
flower,survivor,2023-06-25,2023-06-25,2
flowsovo,hunter,2026-03-08,2026-03-14,2
fluff,survivor,2025-02-23,2026-03-01,19
flx,survivor,2024-03-17,2024-03-17,2
fly,survivor,2023-02-25,2023-02-25,2
"fl두부",survivor,2021-06-13,2021-06-13,3
fmaruko,hunter,2023-10-13,2025-03-09,21
fourchin,survivor,2024-07-14,2024-07-14,3
fox,survivor,2020-06-25,2026-03-05,424
foxnai,survivor,2024-03-09,2026-03-21,12
foxwhite,survivor,2023-03-05,2023-03-25,10
foxy,survivor,2022-02-25,2023-02-26,4
frag,hunter,2022-02-25,2022-02-27,2
freddy,hunter,2026-03-06,2026-03-21,10
freed,survivor,2022-06-24,2022-06-24,2
frost,survivor,2025-11-27,2025-11-27,2
fuda,survivor,2021-11-14,2021-11-27,3
fugo,survivor,2022-02-19,2022-02-19,2
fuku,survivor,2020-10-16,2026-05-03,93
fuku@jp,survivor,2021-06-18,2021-10-01,19
fulan,survivor,2023-03-04,2025-03-06,255
funv,survivor,2021-02-28,2024-03-16,5
future,survivor,2025-11-21,2025-11-22,6
future(hmt),survivor,2024-03-09,2024-03-09,4
fxctea,survivor,2025-03-01,2025-03-01,3
fy,survivor,2022-06-24,2025-02-23,19
"fノsign",hunter,2021-06-13,2021-11-14,3
g1hata,survivor,2021-08-27,2021-08-27,3
gaji,survivor,2021-02-26,2025-03-01,14
gali,survivor,2021-02-27,2021-02-27,1
ganjangbap,survivor,2021-09-11,2021-09-11,3
ganmo,survivor,2026-02-27,2026-03-07,8
gaon,survivor,2024-07-20,2024-07-21,8
gary,survivor,2024-03-09,2024-03-10,5
gate,hunter,2022-06-24,2022-06-24,1
gduu,survivor,2026-03-07,2026-03-07,3
gee,survivor,2023-02-18,2023-02-18,2
gege,survivor,2026-03-08,2026-03-08,1
ghost,survivor,2024-07-14,2024-07-14,2
ghostly,hunter,2026-03-02,2026-03-02,1
ghostqueen,survivor,2022-02-20,2022-02-20,4
gin,survivor,2020-11-04,2024-03-17,54
ginbyx,survivor,2021-08-07,2021-08-22,4
givenchy,survivor,2021-03-07,2021-03-07,2
gl,survivor,2021-03-06,2022-08-26,122
glast,hunter,2022-08-26,2022-09-10,9
glin,survivor,2021-08-29,2021-08-29,2
glugluzzz,survivor,2023-08-05,2023-08-05,3
gnk,survivor,2021-11-13,2026-03-14,296
goated,hunter,2022-02-20,2022-02-20,1
godjay,both,2020-10-03,2026-03-08,117
goguma,survivor,2023-09-28,2024-03-17,16
golfxoxo,survivor,2020-10-03,2020-10-11,3
goo,survivor,2021-03-13,2021-03-13,3
goodbye,survivor,2022-03-20,2022-03-20,2
gougou,survivor,2024-03-09,2025-11-30,228
grandma,survivor,2022-02-20,2022-02-21,8
granny,hunter,2026-03-01,2026-04-17,5
green,survivor,2021-02-28,2026-05-01,84
gris,survivor,2023-07-29,2024-03-09,9
gt,survivor,2024-03-16,2024-09-01,20
gtmoya,survivor,2025-03-01,2025-03-02,8
gua(hmt),survivor,2022-07-02,2022-07-09,4
gua(lvs),survivor,2021-03-13,2021-03-14,5
guag,survivor,2021-06-12,2024-08-09,214
guagua,survivor,2024-03-10,2026-03-21,44
guagua(pt),survivor,2026-03-01,2026-03-01,3
guaguasin,hunter,2025-02-22,2025-02-23,5
guan,survivor,2023-03-05,2024-03-23,14
guesswho,survivor,2026-03-07,2026-03-07,3
gufong,hunter,2023-07-08,2023-07-08,2
gugu,survivor,2022-02-19,2022-02-19,3
gui,survivor,2024-03-10,2025-03-09,23
guideng,survivor,2023-03-05,2023-03-25,10
guo,survivor,2022-02-19,2023-02-18,5
guoker,survivor,2023-07-08,2026-05-02,244
guree,hunter,2021-09-12,2022-02-20,3
gy,hunter,2021-03-20,2021-12-12,21
gyehwa,hunter,2025-03-01,2025-03-01,3
gyuli,survivor,2021-02-26,2021-02-26,2
g|in,survivor,2021-08-08,2021-08-29,4
h1gher,survivor,2023-03-04,2026-03-21,94
h20,survivor,2026-03-06,2026-03-08,5
haaatarii,survivor,2024-03-10,2024-03-10,2
haachan,survivor,2022-02-26,2023-09-28,19
haachar,survivor,2022-02-26,2022-02-26,1
habb,survivor,2022-07-03,2022-07-10,7
hachi,both,2024-07-27,2025-02-23,9
hai,survivor,2023-03-04,2023-03-25,8
haidan,survivor,2022-02-25,2022-02-25,2
haisya,hunter,2022-07-03,2022-07-03,1
haiya,survivor,2020-07-26,2021-05-02,26
haka,survivor,2022-02-27,2022-02-27,1
haku,both,2021-03-13,2023-08-06,14
half(mwf),survivor,2023-02-25,2023-02-25,3
hall,survivor,2024-07-20,2025-03-01,6
hametu,survivor,2023-06-10,2026-05-01,350
hamster,survivor,2023-06-24,2023-06-25,4
hamu,hunter,2025-02-22,2025-03-07,10
hamuchan,hunter,2022-12-03,2026-03-07,6
hana,survivor,2022-07-02,2022-07-10,8
hanbok,survivor,2026-02-28,2026-02-28,3
handsomeboy,survivor,2026-03-07,2026-03-07,2
hanksome,both,2022-07-02,2025-02-22,7
hanzo,hunter,2020-10-03,2020-10-11,8
haoran,survivor,2022-03-20,2022-03-27,5
happy,hunter,2024-07-20,2024-07-20,1
haram,survivor,2021-02-26,2025-03-02,16
hardg,survivor,2024-03-09,2024-03-30,9
harka,survivor,2021-06-18,2021-06-26,3
harryp,survivor,2022-08-20,2023-02-26,14
haru,survivor,2021-02-27,2021-02-27,3
haruka,both,2020-08-07,2024-03-10,11
harupotty,survivor,2020-08-14,2020-08-15,5
hasha,hunter,2020-08-15,2026-05-02,380
hashu,survivor,2022-07-03,2025-02-23,26
hata,survivor,2020-10-03,2021-08-21,7
hatar1,survivor,2021-09-03,2025-03-02,28
hatari,survivor,2022-04-20,2023-02-25,6
