player_id,role,beta,n_games,first_seen,last_seen
yu4,hunter,-0.014993940920899413,3,2022-08-19,2022-08-19
bin,hunter,-0.016056659798908864,4,2024-03-09,2024-07-27
xiaog,hunter,-0.016557277321908644,2,2024-03-09,2024-03-10
dreamer,hunter,-0.017196720612843837,6,2022-06-25,2024-03-16
bot,hunter,-0.01906582459325217,5,2022-12-03,2022-12-04
r1haku,hunter,-0.01912558935091234,6,2022-02-19,2023-02-17
yukakina,hunter,-0.01921175647634719,197,2022-07-02,2026-03-15
kagome,hunter,-0.01974911806374687,16,2021-06-19,2025-03-22
iwane,hunter,-0.019816759122213652,3,2022-02-26,2022-08-21
nekobebi,hunter,-0.021229940272959356,2,2023-02-17,2023-02-17
suda,hunter,-0.02167166821973602,47,2024-11-17,2026-01-02
yui,hunter,-0.022884411944177997,5,2020-10-10,2026-02-28
luoxuan,hunter,-0.023313109928355887,1,2023-02-24,2023-02-24
mlx,hunter,-0.02341417905466764,3,2024-08-11,2025-08-09
taryo,hunter,-0.023785865442237503,10,2021-03-13,2023-02-26
maratang,hunter,-0.024244209302019804,4,2024-07-20,2024-07-21
zenowo,hunter,-0.024706375357445628,16,2021-03-06,2024-03-10
pitstopers,hunter,-0.02480554157315989,2,2022-07-01,2022-07-02
魔女banをban,hunter,-0.02529742041551951,2,2021-06-13,2021-06-13
promeh,hunter,-0.025459990252390537,6,2022-02-20,2022-02-21
dtm,hunter,-0.02549223791279542,3,2022-06-24,2022-06-24
leru,hunter,-0.0286681367648076,2,2023-07-08,2023-07-08
goated,hunter,-0.029790416600789547,1,2022-02-20,2022-02-20
nighty,hunter,-0.029871238345973914,8,2026-03-06,2026-03-21
wh2t3zz,hunter,-0.030497962009184802,1,2021-03-06,2021-03-06
yeojin,hunter,-0.030991476325376875,1,2026-02-28,2026-02-28
raccoon,hunter,-0.0312173164805269,3,2023-02-17,2024-03-17
fmaruko,hunter,-0.03157831730079945,21,2023-10-13,2025-03-09
arisa,hunter,-0.03207333926790738,1,2026-03-08,2026-03-08
daddy,hunter,-0.03248625241312083,5,2020-10-02,2022-02-25
まさかげ,hunter,-0.032518568514688324,1,2021-11-13,2021-11-13
farfala,hunter,-0.034677012588039895,3,2021-08-07,2021-08-07
prushka,hunter,-0.03476315528239496,3,2023-02-25,2023-02-25
nobody,hunter,-0.03496702142107482,4,2023-06-24,2023-06-25
yochi,hunter,-0.03560481729066606,11,2022-07-02,2023-07-08
edu,hunter,-0.03656022711779141,1,2022-02-20,2022-02-20
beloin,hunter,-0.036615828384348854,1,2021-03-06,2022-08-26
oreo,hunter,-0.03680847707211433,3,2020-08-09,2020-08-23
majobnbn,hunter,-0.03695209442632414,1,2020-10-10,2020-10-18
lenioii,hunter,-0.038162021554718074,2,2024-03-09,2024-03-09
irohasu,hunter,-0.03874447810275051,66,2024-03-02,2026-03-15
koya,hunter,-0.04060081267165336,3,2022-07-30,2022-07-31
skyzero,hunter,-0.0419945249429996,2,2020-10-04,2020-10-04
frag,hunter,-0.042812841146718295,2,2022-02-25,2022-02-27
znan,hunter,-0.04362312300692678,1,2025-02-22,2025-02-22
morningstar,hunter,-0.044053895997437455,3,2022-02-20,2022-02-20
paopao,hunter,-0.04408799286646786,2,2022-08-27,2022-08-27
siokn,hunter,-0.0486513822439594,11,2021-06-12,2021-09-11
hima,hunter,-0.04884210896124361,3,2022-07-30,2022-07-30
daikiri,hunter,-0.049632221949207085,4,2022-06-24,2022-07-01
nakase,hunter,-0.05033036824620703,2,2022-07-03,2022-07-03
yuliigc92yt,hunter,-0.050531105165950385,2,2021-08-07,2021-08-07
cerberus,hunter,-0.05084488993115961,6,2022-08-20,2022-08-27
簪葵,hunter,-0.05144120478799163,3,2021-11-13,2021-11-13
potterzzz,hunter,-0.05254007630352707,10,2022-08-20,2023-02-26
santidevil,hunter,-0.055123924953066436,4,2024-03-16,2024-07-15
sneakyensign,hunter,-0.05599085896397808,5,2021-08-08,2021-08-29
reli,hunter,-0.05607307216264494,11,2020-08-14,2021-11-26
nemo,hunter,-0.0565808519272141,3,2024-08-30,2024-08-31
papua,hunter,-0.05701612052578318,7,2022-02-19,2022-04-30
k1li2,hunter,-0.05789547904591191,2,2021-02-27,2021-02-27
xiaoq,hunter,-0.058389126097972824,2,2024-03-10,2024-03-10
granny,hunter,-0.05847608262234736,5,2026-03-01,2026-04-17
daegun,hunter,-0.05853081255452635,3,2022-02-20,2022-02-20
yollo,hunter,-0.05856042987415477,3,2022-02-19,2022-02-19
superq,hunter,-0.05867336413565896,4,2021-03-14,2021-03-14
sukotchii,hunter,-0.058705979590067486,5,2021-11-13,2021-11-28
syu,hunter,-0.06005376308414181,3,2020-08-16,2021-03-06
haku,hunter,-0.060526087373455356,3,2021-03-13,2023-08-06
aru,hunter,-0.061640337025104415,2,2020-08-14,2021-09-11
