tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
30.0,0.05,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1299833528993923,1.1537480507648972,0.04077137522799579
30.0,0.05,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.073792795759159,1.09055673129318,0.03050751645701877
30.0,0.05,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1440009744396178,1.154605324976626,0.018284435452502135
30.0,0.05,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.10746467949296,1.1625760678151191,0.09256189714599428
30.0,0.05,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0419333157482655,1.1384964393796808,0.16243890470701217
30.0,0.1,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.126569523972187,1.1537480507648972,0.04655853280878797
30.0,0.1,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0704953002392303,1.09055673129318,0.03645277606391095
30.0,0.1,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1436025853001055,1.154605324976626,0.018968065498610187
30.0,0.1,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1074494949113032,1.1625760678151191,0.09258678096172801
30.0,0.1,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0419253562360773,1.1384964393796808,0.16245170121170593
30.0,0.15,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.125714656972186,1.1537480507648972,0.04800497066116871
30.0,0.15,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0690134028223885,1.09055673129318,0.039118625841666144
30.0,0.15,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1432821182951836,1.154605324976626,0.01951780947427062
30.0,0.15,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1074345175774372,1.1625760678151191,0.09261132481478385
30.0,0.15,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0419174401620228,1.1384964393796808,0.1624644277839724
30.0,0.2,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1256946167515798,1.1537480507648972,0.04803886561042392
30.0,0.2,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0682415453019378,1.09055673129318,0.040505691264917765
30.0,0.2,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1430184980045284,1.154605324976626,0.019969920455576218
30.0,0.2,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1074198087929477,1.1625760678151191,0.09263542826401894
30.0,0.2,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0419095669853065,1.1384964393796808,0.16247708529482385
30.0,0.3,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1265345021279984,1.1537480507648972,0.046617811457422165
30.0,0.3,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0676387279586415,1.09055673129318,0.04158828651652058
30.0,0.3,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.142609330198999,1.154605324976626,0.020671440133581243
30.0,0.3,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1073913752142348,1.1625760678151191,0.09268202177906637
30.0,0.3,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.041893947222545,1.1384964393796808,0.16250219651673958
