half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,tier
88.43663426832285,5,871,174,1.0615143854413969,1.2270888828592579,3,IJL
109.78282345307318,1,175,174,1.2262700809810523,1.2010531776870597,69,IJL
109.78282345307318,2,349,174,1.0229963514980533,1.186611131336418,4,IJL
109.78282345307318,3,523,174,1.1088843545879403,1.1421898708837446,12,IJL
109.78282345307318,4,697,174,1.1059751675014418,1.1670771035014103,2,IJL
109.78282345307318,5,871,174,1.0636951553276563,1.2270888828592579,3,IJL
136.2813999542456,1,175,174,1.2268989451023888,1.2010531776870597,69,IJL
136.2813999542456,2,349,174,1.0122567183068483,1.186611131336418,4,IJL
136.2813999542456,3,523,174,1.1098385314949777,1.1421898708837446,12,IJL
136.2813999542456,4,697,174,1.1036357096843001,1.1670771035014103,2,IJL
136.2813999542456,5,871,174,1.0656217164516764,1.2270888828592579,3,IJL
169.17600940941313,1,175,174,1.227406821017744,1.2010531776870597,69,IJL
169.17600940941313,2,349,174,1.0045920262759036,1.186611131336418,4,IJL
169.17600940941313,3,523,174,1.1112277912065764,1.1421898708837446,12,IJL
169.17600940941313,4,697,174,1.101454888807814,1.1670771035014103,2,IJL
169.17600940941313,5,871,174,1.0671514910932998,1.2270888828592579,3,IJL
210.01047956142742,1,175,174,1.2278167652620982,1.2010531776870597,69,IJL
210.01047956142742,2,349,174,0.9996401826817739,1.186611131336418,4,IJL
210.01047956142742,3,523,174,1.1129244033203942,1.1421898708837446,12,IJL
210.01047956142742,4,697,174,1.099585307483376,1.1670771035014103,2,IJL
210.01047956142742,5,871,174,1.0682996094007393,1.2270888828592579,3,IJL
260.7012760236364,1,175,174,1.2281475234547419,1.2010531776870597,69,IJL
260.7012760236364,2,349,174,0.9966847146366618,1.186611131336418,4,IJL
260.7012760236364,3,523,174,1.1147653560579311,1.1421898708837446,12,IJL
260.7012760236364,4,697,174,1.098087978324444,1.1670771035014103,2,IJL
260.7012760236364,5,871,174,1.0691406046182366,1.2270888828592579,3,IJL
323.62744688877655,1,175,174,1.228414304338205,1.2010531776870597,69,IJL
323.62744688877655,2,349,174,0.9950436730368011,1.186611131336418,4,IJL
323.62744688877655,3,523,174,1.1166068257283994,1.1421898708837446,12,IJL
323.62744688877655,4,697,174,1.0969514002564087,1.1670771035014103,2,IJL
323.62744688877655,5,871,174,1.069755413988764,1.2270888828592579,3,IJL
401.7422775109552,1,175,174,1.2286294276370027,1.2010531776870597,69,IJL
401.7422775109552,2,349,174,0.9942080488479985,1.186611131336418,4,IJL
