half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,era
88.43663426832285,3,2716,904,1.1288578175820476,1.21840603836992,484,late (2023+)
88.43663426832285,4,3620,904,1.0452855020085001,1.105096800308958,107,late (2023+)
88.43663426832285,5,4524,904,1.0341325304035909,1.1545408618883575,218,late (2023+)
109.78282345307318,1,908,904,1.1484923373512201,1.1645577230285695,411,late (2023+)
109.78282345307318,2,1812,904,1.0664115355644461,1.111584215894841,202,late (2023+)
109.78282345307318,3,2716,904,1.1293585278057348,1.21840603836992,484,late (2023+)
109.78282345307318,4,3620,904,1.0455185523752522,1.105096800308958,107,late (2023+)
109.78282345307318,5,4524,904,1.0317665079514846,1.1545408618883575,218,late (2023+)
136.2813999542456,1,908,904,1.1517220681922535,1.1645577230285695,411,late (2023+)
136.2813999542456,2,1812,904,1.0679755258970158,1.111584215894841,202,late (2023+)
136.2813999542456,3,2716,904,1.1299517947936537,1.21840603836992,484,late (2023+)
136.2813999542456,4,3620,904,1.0461322562355384,1.105096800308958,107,late (2023+)
136.2813999542456,5,4524,904,1.02987129987831,1.1545408618883575,218,late (2023+)
169.17600940941313,1,908,904,1.1546416049438786,1.1645577230285695,411,late (2023+)
169.17600940941313,2,1812,904,1.0696839251013586,1.111584215894841,202,late (2023+)
169.17600940941313,3,2716,904,1.1305535273237135,1.21840603836992,484,late (2023+)
169.17600940941313,4,3620,904,1.0470193169144442,1.105096800308958,107,late (2023+)
169.17600940941313,5,4524,904,1.0284074414418678,1.1545408618883575,218,late (2023+)
210.01047956142742,1,908,904,1.157201859589768,1.1645577230285695,411,late (2023+)
210.01047956142742,2,1812,904,1.0713039916289222,1.111584215894841,202,late (2023+)
210.01047956142742,3,2716,904,1.1311171823435904,1.21840603836992,484,late (2023+)
210.01047956142742,4,3620,904,1.0480953994676399,1.105096800308958,107,late (2023+)
210.01047956142742,5,4524,904,1.0273646838799204,1.1545408618883575,218,late (2023+)
260.7012760236364,1,908,904,1.1594007440111889,1.1645577230285695,411,late (2023+)
260.7012760236364,2,1812,904,1.0727416404949173,1.111584215894841,202,late (2023+)
260.7012760236364,3,2716,904,1.131633222207419,1.21840603836992,484,late (2023+)
260.7012760236364,4,3620,904,1.0492891070808432,1.105096800308958,107,late (2023+)
260.7012760236364,5,4524,904,1.0267183002543132,1.1545408618883575,218,late (2023+)
323.62744688877655,1,908,904,1.1612614605275926,1.1645577230285695,411,late (2023+)
323.62744688877655,2,1812,904,1.0739740263577016,1.111584215894841,202,late (2023+)
323.62744688877655,3,2716,904,1.1321040643526827,1.21840603836992,484,late (2023+)
323.62744688877655,4,3620,904,1.0505321750628076,1.105096800308958,107,late (2023+)
323.62744688877655,5,4524,904,1.026414652138493,1.1545408618883575,218,late (2023+)
401.7422775109552,1,908,904,1.1628189322888949,1.1645577230285695,411,late (2023+)
401.7422775109552,2,1812,904,1.0750102309023004,1.111584215894841,202,late (2023+)
